    timestep           tps         kinetic_energy  potential_energy     pressure     kinetic_temperature      volume     
     123000         1369.64827       3441.30721       898.27252         -7.11941           3.06302           64.00000    
     124000         1369.79760       3423.95256       766.20972         -4.74916           3.04758           64.00000    
     125000         1369.42833       3350.82108       710.64557        -19.51858           2.98248           64.00000    
     126000         1369.66615       3341.89617       830.27005         -8.42117           2.97454           64.00000    
     127000         1369.88488       3514.82307       987.28463         7.46367            3.12846           64.00000    
     128000         1370.34355       3562.23452       1056.17757        21.51482           3.17066           64.00000    
     129000         1370.79689       3374.68487       903.36911         4.79540            3.00372           64.00000    
     130000         1371.24017       3389.62666       670.94107         8.45308            3.01702           64.00000    
     131000         1371.45142       3334.13115       814.76082        -18.93124           2.96763           64.00000    
     132000         1370.63468       3455.27956       916.85739         8.66135            3.07546           64.00000    
     133000         1370.66318       3566.20073       875.60603         2.68505            3.17419           64.00000    
     134000         1370.65105       3550.28737       843.96453         -7.79147           3.16002           64.00000    
     135000         1370.66616       3445.40849       753.47232        -19.78603           3.06667           64.00000    
     136000         1370.75792       3579.14198       951.42863         23.41992           3.18571           64.00000    
     137000         1370.88712       3639.24344       870.04976         -7.39521           3.23920           64.00000    
     138000         1371.12473       3571.67501       852.08829         -2.70936           3.17906           64.00000    
     139000         1370.84379       3365.10975       869.83941         -3.26871           2.99520           64.00000    
     140000         1370.77487       3406.65745       860.02897        -24.39434           3.03218           64.00000    
     141000         1370.86550       3393.73106       798.18538         24.00415           3.02068           64.00000    
     142000         1370.97708       3517.38906       849.95492         -1.46454           3.13074           64.00000    
     143000         1371.09342       3532.06803       821.04470        -16.50979           3.14381           64.00000    
     144000         1371.36466       3413.22089       934.45793        -16.06065           3.03802           64.00000    
     145000         1371.65383       3376.73634       991.33524         33.98917           3.00555           64.00000    
     146000         1371.76129       3460.99620       879.21056         -1.92956           3.08055           64.00000    
     147000         1372.05600       3513.52195       933.06527        -13.02571           3.12730           64.00000    
     148000         1372.17202       3388.39358       942.37181         10.57758           3.01593           64.00000    
     149000         1372.06784       3500.18411       664.07410        -24.13948           3.11543           64.00000    
     150000         1372.08357       3439.70949       862.19028        -43.87834           3.06160           64.00000    
     151000         1372.30079       3413.26323       1022.80831       -14.85460           3.03806           64.00000    
     152000         1372.66774       3375.04220       1126.20340       -32.52799           3.00404           64.00000    
     153000         1372.75501       3474.75105       765.63581         21.09834           3.09279           64.00000    
     154000         1373.04916       3502.77320       822.40095         23.42586           3.11773           64.00000    
     155000         1373.33252       3498.85385       769.60018        -26.99695           3.11424           64.00000    
     156000         1373.35769       3430.71953       1012.09413        4.32808            3.05360           64.00000    
     157000         1373.24497       3513.32552       671.49026         1.82869            3.12713           64.00000    
     158000         1373.37741       3297.89565       766.26700         -2.12848           2.93538           64.00000    
     159000         1373.58965       3350.40105       825.76950        -16.71595           2.98211           64.00000    
     160000         1373.46624       3614.66319       919.56228        -13.01719           3.21732           64.00000    
     161000         1373.69797       3718.68706       916.16456         -9.68420           3.30991           64.00000    
     162000         1373.82808       3408.25382       765.97078        -17.95856           3.03360           64.00000    
     163000         1373.90410       3340.91244       673.18924         -3.23569           2.97366           64.00000    
     164000         1374.14118       3263.12938       853.43006        -40.42645           2.90443           64.00000    
     165000         1374.27868       3586.23156       913.53528         18.92253           3.19202           64.00000    
     166000         1374.29718       3623.91683       963.58298        -24.37644           3.22556           64.00000    
     167000         1374.32440       3561.94709       1003.86568        -3.65663           3.17040           64.00000    
     168000         1374.57963       3474.83788       877.21844        -26.42276           3.09287           64.00000    
     169000         1374.83237       3433.04853       923.19883         35.64334           3.05567           64.00000    
     170000         1375.00744       3464.40134       904.40043         65.01581           3.08358           64.00000    
     171000         1375.06745       3509.28229       996.33500        -28.01481           3.12353           64.00000    
     172000         1375.14697       3544.47463       863.11433         -2.04470           3.15485           64.00000    
     173000         1375.26160       3371.03262       768.86098        -36.78351           3.00047           64.00000    
     174000         1374.91330       3624.73448       831.19944         -0.86876           3.22629           64.00000    
     175000         1375.04373       3549.79877       886.54525        -26.26649           3.15959           64.00000    
     176000         1375.14208       3494.45956       793.43867        -61.18839           3.11033           64.00000    
     177000         1375.32083       3431.68581       990.71926        -44.53667           3.05446           64.00000    
     178000         1375.59272       3429.97315       1194.21413       -46.37065           3.05294           64.00000    
     179000         1375.90891       3360.23195       1025.88589       -23.39498           2.99086           64.00000    
     180000         1376.19264       3363.49931       1180.39444        17.23275           2.99377           64.00000    
     181000         1376.14922       3397.90011       1044.23070       -29.21692           3.02439           64.00000    
     182000         1376.31773       3366.03016       806.62628         -1.88129           2.99602           64.00000    
     183000         1376.21251       3318.53698       996.51355         -6.50740           2.95375           64.00000    
     184000         1376.46969       3498.50643       980.77219        -30.68974           3.11394           64.00000    
     185000         1376.67781       3573.87212       913.18995        -34.32660           3.18102           64.00000    
     186000         1376.87246       3517.60638       879.83578        -21.54037           3.13094           64.00000    
     187000         1376.96600       3460.11824       819.58910        -41.17496           3.07977           64.00000    
     188000         1376.83050       3487.42769       930.94605        -21.02791           3.10407           64.00000    
     189000         1376.94867       3393.17219       1040.44062        0.45902            3.02018           64.00000    
     190000         1377.04446       3602.79258       891.77998         -5.41618           3.20676           64.00000    
     191000         1377.00055       3504.13166       1041.30874       -21.57422           3.11894           64.00000    
     192000         1376.81910       3655.61708       766.68132         21.45533           3.25378           64.00000    
     193000         1376.75132       3436.72805       936.85177        -14.09314           3.05895           64.00000    
     194000         1376.62155       3438.35308       811.01703         45.26675           3.06039           64.00000    
     195000         1376.31885       3598.52480       823.21204         20.55335           3.20296           64.00000    
     196000         1376.41695       3515.00841       953.97549        -39.22392           3.12862           64.00000    
     197000         1376.65008       3393.24262       1055.47783        5.92353            3.02024           64.00000    
     198000         1376.82484       3327.48938       955.53314        -18.63460           2.96172           64.00000    
     199000         1376.93788       3630.28022       783.72743         -5.68673           3.23122           64.00000    
     200000         1376.87392       3486.20283       958.67776         23.08061           3.10298           64.00000    
     201000         1377.02547       3512.57478       892.15957        -14.89107           3.12646           64.00000    
     202000         1377.09175       3366.04706       960.49205         11.64254           2.99604           64.00000    
     203000         1377.38543       3419.26575       883.33794         40.96834           3.04341           64.00000    
     204000         1377.57389       3574.52612       918.06333         8.46946            3.18160           64.00000    
     205000         1377.78605       3564.52091       906.51203        -43.05126           3.17269           64.00000    
     206000         1378.06737       3645.42133       1008.52504        19.23234           3.24470           64.00000    
     207000         1378.33686       3551.29052       1278.19574        -7.45358           3.16092           64.00000    
     208000         1378.68364       3467.44641       1057.18975        -5.21076           3.08629           64.00000    
     209000         1378.59533       3521.28648       845.99295         44.76698           3.13421           64.00000    
     210000         1378.81590       3561.02707       919.91120         5.32980            3.16958           64.00000    
     211000         1378.95114       3483.65987       1117.53817        2.28929            3.10072           64.00000    
     212000         1379.01356       3459.01782       1021.89512        -4.35449           3.07879           64.00000    
     213000         1379.12198       3474.15797       978.68589         20.75247           3.09226           64.00000    
     214000         1379.34488       3378.36132       918.95600         0.24425            3.00700           64.00000    
     215000         1379.62277       3360.74620       912.48816         -7.28812           2.99132           64.00000    
     216000         1379.55564       3534.59987       975.30450        -27.29875           3.14606           64.00000    
     217000         1379.69490       3669.30081       871.05458         5.66030            3.26596           64.00000    
     218000         1379.66142       3464.55204       941.05562         -8.43794           3.08371           64.00000    
     219000         1379.73785       3370.97389       837.93323         12.47490           3.00042           64.00000    
     220000         1379.71855       3311.77022       1074.54069        30.81004           2.94773           64.00000    
     221000         1379.85181       3520.13654       967.68525         17.13850           3.13319           64.00000    
     222000         1380.00834       3502.63986       844.55632        -20.10501           3.11761           64.00000    
     223000         1379.76116       3271.66481       768.18533        -23.48426           2.91203           64.00000    
     224000         1379.71374       3634.44332       691.81826         2.21664            3.23493           64.00000    
     225000         1379.60490       3576.90610       931.60661         -8.37942           3.18372           64.00000    
     226000         1379.74270       3494.94873       811.51339         30.47838           3.11077           64.00000    
     227000         1379.70184       3371.36544       843.26182        -12.23591           3.00077           64.00000    
     228000         1379.93001       3437.31762       757.72782         -8.71200           3.05947           64.00000    
     229000         1380.16198       3514.72797       816.26934        -23.57176           3.12837           64.00000    
     230000         1380.18554       3391.71456       933.43731         10.27681           3.01888           64.00000    
     231000         1380.39674       3371.05000       676.14208        -27.02580           3.00049           64.00000    
     232000         1380.62471       3584.73610       703.35524        -44.48663           3.19069           64.00000    
     233000         1380.90203       3400.43131       1050.81533       -39.25023           3.02664           64.00000    
     234000         1381.31214       3643.16666       1026.41272        -6.63703           3.24269           64.00000    
     235000         1381.28665       3556.87059       1102.66698       -29.40333           3.16588           64.00000    
     236000         1381.23730       3478.22675       1008.88860        -3.87851           3.09588           64.00000    
     237000         1381.13267       3471.78249       861.29005         4.50165            3.09015           64.00000    
     238000         1381.18887       3316.41941       905.66025        -19.34723           2.95186           64.00000    
     239000         1381.27500       3257.48370       758.98145        -16.44874           2.89941           64.00000    
     240000         1381.30787       3432.58715       880.76289        -14.84362           3.05526           64.00000    
     241000         1381.40451       3535.10324       846.21670        -19.53290           3.14651           64.00000    
     242000         1381.58201       3401.20538       796.26174        -18.93286           3.02733           64.00000    
     243000         1381.75423       3526.47349       1003.90212        -4.53488           3.13883           64.00000    
     244000         1381.60599       3546.95828       966.51253        -19.66682           3.15706           64.00000    
     245000         1381.91950       3490.93979       850.64184         9.93222            3.10720           64.00000    
     246000         1382.18537       3466.83047       883.55003        -50.05356           3.08574           64.00000    
     247000         1382.49195       3427.10244       969.91757         0.60033            3.05038           64.00000    
